[Sat Feb 06 16:24:49.728108 2021] [core:alert] [pid 9966:tid 123145432526848] [client 127.0.0.1:57446] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:26:19.221431 2021] [core:alert] [pid 9965:tid 123145432526848] [client 127.0.0.1:57522] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:26:19.235135 2021] [core:alert] [pid 9965:tid 123145433600000] [client 127.0.0.1:57524] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:26:19.241417 2021] [core:alert] [pid 9966:tid 123145426624512] [client 127.0.0.1:57525] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:26:19.244385 2021] [core:alert] [pid 9964:tid 123145433600000] [client 127.0.0.1:57526] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:26:19.688638 2021] [core:alert] [pid 10319:tid 123145436282880] [client 127.0.0.1:57528] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:26:19.693646 2021] [core:alert] [pid 9966:tid 123145428234240] [client 127.0.0.1:57530] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:26:19.693934 2021] [core:alert] [pid 10319:tid 123145436819456] [client 127.0.0.1:57531] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:26:19.693327 2021] [core:alert] [pid 9966:tid 123145427697664] [client 127.0.0.1:57527] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:28:25.718522 2021] [core:alert] [pid 10319:tid 123145425551360] [client 127.0.0.1:57847] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php?theme=twentynineteen
[Sat Feb 06 16:29:14.545553 2021] [core:alert] [pid 10319:tid 123145427161088] [client 127.0.0.1:57859] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php?activated=true
[Sat Feb 06 16:29:14.547761 2021] [core:alert] [pid 10319:tid 123145428234240] [client 127.0.0.1:57861] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php?activated=true
[Sat Feb 06 16:29:14.556808 2021] [core:alert] [pid 10319:tid 123145429843968] [client 127.0.0.1:57862] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php?activated=true
[Sat Feb 06 16:29:14.561767 2021] [core:alert] [pid 10319:tid 123145431453696] [client 127.0.0.1:57863] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php?activated=true
[Sat Feb 06 16:29:14.936663 2021] [core:alert] [pid 10319:tid 123145430380544] [client 127.0.0.1:57864] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:29:14.936993 2021] [core:alert] [pid 10319:tid 123145424478208] [client 127.0.0.1:57866] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:29:14.936831 2021] [core:alert] [pid 9966:tid 123145428234240] [client 127.0.0.1:57865] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:29:14.943815 2021] [core:alert] [pid 10319:tid 123145431990272] [client 127.0.0.1:57868] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
